Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,AR 5-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted AR 7-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in AR 7-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
870,5,0,0,0.5,0,0,0.5,5,0,0.01501045495565,-0.462573033991366,0.01809739884226,-0.004346790037873,-0.526004259249319,0,0,0,0,0.01501045495565,0.037426966008634,0.01809739884226,-0.004346790037873,-0.026004259249319,0,0,0,0
871,5,0,0,0.5,0,0,0.5,5,0,0.019806841109459,-0.461130702293919,0.023541430288162,0.03115577433746,-0.499585017169482,0,0,0,0,0.019806841109459,0.038869297706081,0.023541430288162,0.03115577433746,0.000414982830518,0,0,0,0
872,5,0,0,0.5,0,0,0.5,5,0,-0.020456669763508,-0.534095883296116,0.01874681902245,-0.010722513902069,-0.466766149054926,0,0,0,0,-0.020456669763508,-0.034095883296116,0.01874681902245,-0.010722513902069,0.033233850945074,0,0,0,0
873,5,0,0,0.5,0,0,0.5,5,0,-0.005946377416018,-0.569143122047561,-0.023256358984507,-0.057086755072105,-0.468122433710651,0,0,0,0,-0.005946377416018,-0.069143122047561,-0.023256358984507,-0.057086755072105,0.031877566289349,0,0,0,0
874,5,0,0,0.5,0,0,0.5,5,0,0.012288451097368,-0.444572600487756,0.055841812615859,0.040009443537172,-0.469703025392621,0,0,0,0,0.012288451097368,0.055427399512244,0.055841812615859,0.040009443537172,0.030296974607379,0,0,0,0
875,5,0,0,0.5,0,0,0.5,5,0,-0.038822720160569,-0.518601642229546,-0.024546295915686,-0.014248472744879,-0.496044395750932,0,0,0,0,-0.038822720160569,-0.018601642229546,-0.024546295915686,-0.014248472744879,0.003955604249068,0,0,0,0
876,5,0,0,0.5,0,0,0.5,5,0,0.018309363310707,-0.490972719587199,0.006013986777985,-0.022070897311407,-0.48565473841567,0,0,0,0,0.018309363310707,0.009027280412801,0.006013986777985,-0.022070897311407,0.01434526158433,0,0,0,0
877,5,0,0,0.5,0,0,0.5,5,0,-0.026972723623487,-0.506211168700567,-0.042467762648225,0.001772646100283,-0.504460284084222,0,0,0,0,-0.026972723623487,-0.006211168700567,-0.042467762648225,0.001772646100283,-0.004460284084222,0,0,0,0
878,5,0,0,0.5,0,0,0.5,5,0,0.042921422427889,-0.473961802118463,0.009075581625535,0.00669444439704,-0.536160299172557,0,0,0,0,0.042921422427889,0.026038197881537,0.009075581625535,0.00669444439704,-0.036160299172557,0,0,0,0
879,5,0,0,0.5,0,0,0.5,5,0,0.02701604608918,-0.448718752763104,0.077552555625635,0.034560793893179,-0.457168481252479,0,0,0,0,0.02701604608918,0.051281247236896,0.077552555625635,0.034560793893179,0.042831518747521,0,0,0,0
880,5,0,0,0.5,0,0,0.5,5,0,-0.003392232660105,-0.507847297640141,0.04389163515552,-0.032907853570611,-0.475136355923028,0,0,0,0,-0.003392232660105,-0.007847297640141,0.04389163515552,-0.032907853570611,0.024863644076972,0,0,0,0
881,5,0,0,0.5,0,0,0.5,5,0,0.017576681941216,-0.479097965243909,0.016785811444935,0.006899885783925,-0.491123827325498,0,0,0,0,0.017576681941216,0.020902034756091,0.016785811444935,0.006899885783925,0.008876172674502,0,0,0,0
882,5,0,0,0.5,0,0,0.5,5,0,0.001378443218386,-0.452383615649395,0.017754070421818,0.016678888945925,-0.505010255174149,0,0,0,0,0.001378443218386,0.047616384350605,0.017754070421818,0.016678888945925,-0.005010255174149,0,0,0,0
883,5,0,0,0.5,0,0,0.5,5,0,0.031298771303669,-0.514348087491544,0.03493636099181,-0.020548436015488,-0.479097664776188,0,0,0,0,0.031298771303669,-0.014348087491545,0.03493636099181,-0.020548436015488,0.020902335223812,0,0,0,0
884,5,0,0,0.5,0,0,0.5,5,0,0.02753247486999,-0.521904771584889,-0.047393242006971,-0.038656592880575,-0.550954721930407,0,0,0,0,0.02753247486999,-0.021904771584889,-0.047393242006971,-0.038656592880575,-0.050954721930407,0,0,0,0
885,5,0,0,0.5,0,0,0.5,5,0,-0.029132625044386,-0.494524032336487,-0.006668095033138,0.032139762157299,-0.472533218137936,0,0,0,0,-0.029132625044386,0.005475967663513,-0.006668095033138,0.032139762157299,0.027466781862064,0,0,0,0
886,5,0,0,0.5,0,0,0.5,5,0,-0.008470398672574,-0.537140889614563,-0.017463876607846,-0.019495382590444,-0.486737741100132,0,0,0,0,-0.008470398672574,-0.037140889614563,-0.017463876607846,-0.019495382590444,0.013262258899868,0,0,0,0
887,5,0,0,0.5,0,0,0.5,5,0,0.028724771844276,-0.519807326283469,0.029714291235009,-0.049021080171741,-0.475711523988044,0,0,0,0,0.028724771844276,-0.019807326283469,0.029714291235009,-0.049021080171741,0.024288476011956,0,0,0,0
888,5,0,0,0.5,0,0,0.5,5,0,0.00331982896979,-0.497624646765588,0.03413873571222,-0.013665126161216,-0.477753329293339,0,0,0,0,0.00331982896979,0.002375353234412,0.03413873571222,-0.013665126161216,0.022246670706661,0,0,0,0
889,5,0,0,0.5,0,0,0.5,5,0,-0.023435547808497,-0.526534768711541,0.020091694043169,-0.010758180221993,-0.458184268177296,0,0,0,0,-0.023435547808497,-0.026534768711542,0.020091694043169,-0.010758180221993,0.041815731822704,0,0,0,0
890,5,0,0,0.5,0,0,0.5,5,0,-0.051696666557374,-0.518607377542894,-0.040832952439624,-0.008838892228897,-0.472521729466284,0,0,0,0,-0.051696666557374,-0.018607377542894,-0.040832952439624,-0.008838892228897,0.027478270533716,0,0,0,0
891,5,0,0,0.5,0,0,0.5,5,0,-0.004892413129898,-0.505872603932847,0.000696161398643,0.014766875158721,-0.476455099035499,0,0,0,0,-0.004892413129898,-0.005872603932847,0.000696161398643,0.014766875158721,0.023544900964501,0,0,0,0
892,5,0,0,0.5,0,0,0.5,5,0,0.018198614054766,-0.473429515066758,-0.034397658450337,0.007570269181111,-0.559918696117066,0,0,0,0,0.018198614054766,0.026570484933242,-0.034397658450337,0.007570269181111,-0.059918696117066,0,0,0,0
893,5,0,0,0.5,0,0,0.5,5,0,-0.020269222325579,-0.508599150776556,-0.01647915261346,-0.028766377063698,-0.515218871577833,0,0,0,0,-0.020269222325579,-0.008599150776556,-0.01647915261346,-0.028766377063698,-0.015218871577833,0,0,0,0
894,5,0,0,0.5,0,0,0.5,5,0,0.028193339751577,-0.534883033443287,0.068539927012712,-0.040802430914962,-0.408293696142343,0,0,0,0,0.028193339751577,-0.034883033443287,0.068539927012712,-0.040802430914962,0.091706303857657,0,0,0,0
895,5,0,0,0.5,0,0,0.5,5,0,0.042585444049131,-0.446456497488285,0.005599545035955,0.028216260130377,-0.512588922165259,0,0,0,0,0.042585444049131,0.053543502511715,0.005599545035955,0.028216260130377,-0.012588922165259,0,0,0,0
