Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
115,3,0,0,0.2,0.8,3,0,0.010158428390902,-0.152728955808871,-0.795265367710212,0,0,0,0,0.010158428390902,0.047271044191129,0.004734632289788,0,0,0,0
116,3,0,0,0.2,0.8,3,0,0.007344727281426,-0.210998622873036,-0.80685289270312,0,0,0,0,0.007344727281426,-0.010998622873036,-0.00685289270312,0,0,0,0
117,3,0,0,0.2,0.8,3,0,-0.017071596939682,-0.1907440809083,-0.80625055878121,0,0,0,0,-0.017071596939682,0.0092559190917,-0.00625055878121,0,0,0,0
118,3,0,0,0.2,0.8,3,0,0.010563209899252,-0.230656866799511,-0.778998105225061,0,0,0,0,0.010563209899252,-0.030656866799511,0.021001894774939,0,0,0,0
119,3,0,0,0.2,0.8,3,0,-0.000975476476585,-0.199878203841987,-0.802636968561739,0,0,0,0,-0.000975476476585,0.000121796158013,-0.002636968561739,0,0,0,0
120,3,0,0,0.2,0.8,3,0,0.002832280158256,-0.216264755659282,-0.806645796373326,0,0,0,0,0.002832280158256,-0.016264755659282,-0.006645796373326,0,0,0,0
121,3,0,0,0.2,0.8,3,0,-0.004907783502137,-0.189642588829285,-0.772642418734725,0,0,0,0,-0.004907783502137,0.010357411170716,0.027357581265275,0,0,0,0
122,3,0,0,0.2,0.8,3,0,-0.014630873862152,-0.190358507197539,-0.804010535295985,0,0,0,0,-0.014630873862152,0.009641492802461,-0.004010535295985,0,0,0,0
123,3,0,0,0.2,0.8,3,0,-0.001991571917864,-0.208538936377877,-0.797609995177676,0,0,0,0,-0.001991571917864,-0.008538936377877,0.002390004822324,0,0,0,0
124,3,0,0,0.2,0.8,3,0,0.000969802035858,-0.184316847866706,-0.797926077935294,0,0,0,0,0.000969802035858,0.015683152133294,0.002073922064706,0,0,0,0
