Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,AR 5-lag Coeff,AR 6-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted AR 7-lag Coeff,Fitted AR 8-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in AR 7-lag Coeff,Diff in AR 8-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
223,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.009095993777436084,-0.021629713553891195,-0.40756112267332106,0.015600137480808919,-0.34113386483524566,-0.29135554054005275,0,0,0,0,-0.009095993777436084,-0.021629713553891195,-0.007561122673321041,0.015600137480808919,-0.04113386483524567,0.00864445945994724,0,0,0,0
224,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.03358869316872609,-0.033829255371059075,-0.42180527507957943,-0.019636670671478968,-0.29256673210967166,-0.3166075717485605,0,0,0,0,-0.03358869316872609,-0.033829255371059075,-0.02180527507957941,-0.019636670671478968,0.007433267890328332,-0.016607571748560535,0,0,0,0
225,6,0,0,0,0.4,0,0.3,0.3,6,0,0.02233921065651079,-0.03955750201221764,-0.41633950319624013,-0.03778981761262971,-0.26472103119221385,-0.3104800630558185,0,0,0,0,0.02233921065651079,-0.03955750201221764,-0.016339503196240113,-0.03778981761262971,0.03527896880778614,-0.0104800630558185,0,0,0,0
226,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.020868254865874666,-0.010285449931068027,-0.38788999776669564,-0.030105963701022535,-0.3232156459168106,-0.29340010129392063,0,0,0,0,-0.020868254865874666,-0.010285449931068027,0.012110002233304384,-0.030105963701022535,-0.023215645916810634,0.006599898706079355,0,0,0,0
227,6,0,0,0,0.4,0,0.3,0.3,6,0,0.02429182064747966,-0.00020533467683787714,-0.3998426295605987,0.031824733903664346,-0.2922730704231709,-0.2992838801875767,0,0,0,0,0.02429182064747966,-0.00020533467683787714,0.00015737043940133866,0.031824733903664346,0.007726929576829078,0.0007161198124233104,0,0,0,0
228,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.025117856722918178,0.03850083141613811,-0.40612115840308594,-0.022387540312594045,-0.2489902777882203,-0.30438003031032673,0,0,0,0,-0.025117856722918178,0.03850083141613811,-0.006121158403085913,-0.022387540312594045,0.051009722211779684,-0.0043800303103267435,0,0,0,0
229,6,0,0,0,0.4,0,0.3,0.3,6,0,0.02339905060600478,-0.006230187286998031,-0.41661702333357586,0.029281724639961596,-0.30913790836869526,-0.2922347497979377,0,0,0,0,0.02339905060600478,-0.006230187286998031,-0.016617023333575842,0.029281724639961596,-0.009137908368695269,0.007765250202062313,0,0,0,0
230,6,0,0,0,0.4,0,0.3,0.3,6,0,0.021390103940389205,-0.0058397798703178,-0.34500069885956713,-0.0015947661357160754,-0.33873615970892945,-0.22801067352064255,0,0,0,0,0.021390103940389205,-0.0058397798703178,0.05499930114043289,-0.0015947661357160754,-0.03873615970892946,0.07198932647935744,0,0,0,0
231,6,0,0,0,0.4,0,0.3,0.3,6,0,0.010478168975968843,0.057206751070496886,-0.42958618907639246,-0.032627723949109726,-0.3051955945760059,-0.24300191192766843,0,0,0,0,0.010478168975968843,0.057206751070496886,-0.029586189076392433,-0.032627723949109726,-0.005195594576005935,0.05699808807233156,0,0,0,0
232,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.01758952428402781,-0.020364432178486776,-0.3952572998852262,-0.011234132770802058,-0.29606183657878427,-0.3105670987085673,0,0,0,0,-0.01758952428402781,-0.020364432178486776,0.004742700114773846,-0.011234132770802058,0.0039381634212157235,-0.010567098708567313,0,0,0,0
233,6,0,0,0,0.4,0,0.3,0.3,6,0,-0.05938905940569111,0.035179052609003614,-0.3537343050217756,-0.004039250063297091,-0.2872725027417202,-0.3368105722016857,0,0,0,0,-0.05938905940569111,0.035179052609003614,0.046265694978224414,-0.004039250063297091,0.012727497258279763,-0.03681057220168571,0,0,0,0
234,6,0,0,0,0.4,0,0.3,0.3,6,0,0.040287483835873356,0.026454485897714028,-0.39200368895150917,-0.0329289813968546,-0.26812653804993186,-0.3048005940913556,0,0,0,0,0.040287483835873356,0.026454485897714028,0.007996311048490856,-0.0329289813968546,0.03187346195006813,-0.004800594091355637,0,0,0,0
235,6,0,0,0,0.4,0,0.3,0.3,6,0,0.014384940054167211,0.013603500773334127,-0.3927566889395863,0.06321201772765472,-0.25496445771448584,-0.2907805701440924,0,0,0,0,0.014384940054167211,0.013603500773334127,0.007243311060413704,0.06321201772765472,0.04503554228551415,0.009219429855907568,0,0,0,0
236,6,0,0,0,0.4,0,0.3,0.3,6,0,0.013835431911552953,0.0309594320767815,-0.43417472382795164,0.062531953342256,-0.28050792397289565,-0.2572438976179099,0,0,0,0,0.013835431911552953,0.0309594320767815,-0.034174723827951614,0.062531953342256,0.019492076027104344,0.0427561023820901,0,0,0,0
