Run #,AR Order,MA Order,AR 1-lag Coeff,AR 2-lag Coeff,AR 3-lag Coeff,AR 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted AR 3-lag Coeff,Fitted AR 4-lag Coeff,Fitted AR 5-lag Coeff,Fitted AR 6-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in AR 3-lag Coeff,Diff in AR 4-lag Coeff,Diff in AR 5-lag Coeff,Diff in AR 6-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff
66,4,0,0,0,0,0.8,4,0,0.005063304373979,-0.007023506973004,-0.012090259828039,-0.790567792038325,0,0,0,0,0.005063304373979,-0.007023506973004,-0.012090259828039,0.009432207961675,0,0,0,0
67,4,0,0,0,0,0.8,4,0,-0.004059219431771,0.016646401420599,-0.00620831932362,-0.773163336705513,0,0,0,0,-0.004059219431771,0.016646401420599,-0.00620831932362,0.026836663294487,0,0,0,0
68,4,0,0,0,0,0.8,4,0,0.014897754963,-0.025730292770563,0.020670519857154,-0.787477712801577,0,0,0,0,0.014897754963,-0.025730292770563,0.020670519857154,0.012522287198423,0,0,0,0
69,4,0,0,0,0,0.8,4,0,-0.04277206425385,-0.00362692772918,0.019693395927226,-0.804988871482203,0,0,0,0,-0.04277206425385,-0.00362692772918,0.019693395927226,-0.004988871482203,0,0,0,0
70,4,0,0,0,0,0.8,4,0,0.017126966194649,-0.036104128529689,0.024268625051552,-0.808899674023503,0,0,0,0,0.017126966194649,-0.036104128529689,0.024268625051552,-0.008899674023503,0,0,0,0
71,4,0,0,0,0,0.8,4,0,-0.015738385836113,0.025484761974972,0.006493616124211,-0.772606928393886,0,0,0,0,-0.015738385836113,0.025484761974972,0.006493616124211,0.027393071606114,0,0,0,0
72,4,0,0,0,0,0.8,4,0,0.025380099147908,0.007716822445819,0.016846035848851,-0.797732543246539,0,0,0,0,0.025380099147908,0.007716822445819,0.016846035848851,0.002267456753461,0,0,0,0
73,4,0,0,0,0,0.8,4,0,0.002899532193291,0.013653313556334,0.008591869583885,-0.792471736026442,0,0,0,0,0.002899532193291,0.013653313556334,0.008591869583885,0.007528263973558,0,0,0,0
74,4,0,0,0,0,0.8,4,0,0.00431025411143,-0.011400282821982,0.026208351201792,-0.770410831033574,0,0,0,0,0.00431025411143,-0.011400282821982,0.026208351201792,0.029589168966427,0,0,0,0
75,4,0,0,0,0,0.8,4,0,-0.015509003669958,-0.017693729497471,-0.036511811098959,-0.804493326630558,0,0,0,0,-0.015509003669958,-0.017693729497471,-0.036511811098959,-0.004493326630558,0,0,0,0
76,4,0,0,0,0,0.8,4,0,-0.001347043805914,0.017148895880819,-0.004846438587443,-0.803045537619275,0,0,0,0,-0.001347043805914,0.017148895880819,-0.004846438587443,-0.003045537619275,0,0,0,0
77,4,0,0,0,0,0.8,4,0,0.001143354387767,-0.055887065333809,0.023021948563631,-0.783546714464162,0,0,0,0,0.001143354387767,-0.055887065333809,0.023021948563631,0.016453285535838,0,0,0,0
78,4,0,0,0,0,0.8,4,0,-0.011014825900375,-0.011384241527444,0.00624815265554,-0.822365202444671,0,0,0,0,-0.011014825900375,-0.011384241527444,0.00624815265554,-0.022365202444672,0,0,0,0
79,4,0,0,0,0,0.8,4,0,-0.001089955816234,-0.028466808012386,0.004586902008341,-0.772182828903717,0,0,0,0,-0.001089955816234,-0.028466808012386,0.004586902008341,0.027817171096283,0,0,0,0
80,4,0,0,0,0,0.8,4,1,-0.035521513378391,0.001040522102195,-0.002047006020681,-0.802900391304075,0,0,0.152905233451055,0,-0.035521513378391,0.001040522102195,-0.002047006020681,-0.002900391304075,0,0,-0.152905233451055,0
81,4,0,0,0,0,0.8,4,0,0.027616275279372,0.023937043578006,-0.035843878321267,-0.783862884140053,0,0,0,0,0.027616275279372,0.023937043578006,-0.035843878321267,0.016137115859947,0,0,0,0
82,4,0,0,0,0,0.8,4,0,-0.009301030087962,-0.012742264590482,-0.008008521372015,-0.785611319569548,0,0,0,0,-0.009301030087962,-0.012742264590482,-0.008008521372015,0.014388680430453,0,0,0,0
83,4,0,0,0,0,0.8,4,0,0.013872074410476,0.015504560649269,-0.038044711110805,-0.787425465233328,0,0,0,0,0.013872074410476,0.015504560649269,-0.038044711110805,0.012574534766672,0,0,0,0
84,4,0,0,0,0,0.8,4,0,0.018179907777052,0.021795378901242,0.008603166829893,-0.826911142084021,0,0,0,0,0.018179907777052,0.021795378901242,0.008603166829893,-0.026911142084021,0,0,0,0
