Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff
12,0,4,0,0,0,0.8,0,4,0,0,-0.003067878873453,-0.031617816096387,-0.008404783034041,0.814623410627153,0,0,0,0,0.003067878873453,0.031617816096387,0.008404783034041,-0.014623410627153,0,0
13,0,4,0,0,0,0.8,0,4,0,0,0.027604258570447,-0.016421127202759,-0.020693880476423,0.797224086930102,0,0,0,0,-0.027604258570447,0.016421127202759,0.020693880476423,0.002775913069898,0,0
14,0,4,0,0,0,0.8,0,4,0,0,0.010180819937672,0.017292807932018,-0.013285849826974,0.840132288949305,0,0,0,0,-0.010180819937672,-0.017292807932018,0.013285849826974,-0.040132288949305,0,0
15,0,4,0,0,0,0.8,0,4,0,0,-0.02081114678672,0.019839283534336,0.024370495152322,0.805175479730925,0,0,0,0,0.02081114678672,-0.019839283534336,-0.024370495152322,-0.005175479730925,0,0
16,0,4,0,0,0,0.8,0,4,0,0,-0.005873796818038,0.018695376706938,0.032061860212247,0.802608357459192,0,0,0,0,0.005873796818038,-0.018695376706938,-0.032061860212247,-0.002608357459192,0,0
17,0,4,0,0,0,0.8,0,4,0,0,-0.02762630434965,0.00430451031997,-0.017587542673034,0.810415206070596,0,0,0,0,0.02762630434965,-0.00430451031997,0.017587542673034,-0.010415206070596,0,0
18,0,4,0,0,0,0.8,0,4,0,0,-0.019132028292908,0.004018299349873,-0.000332747188416,0.784110424665035,0,0,0,0,0.019132028292908,-0.004018299349873,0.000332747188416,0.015889575334965,0,0
19,0,4,0,0,0,0.8,0,4,0,0,-0.011221017823824,0.014195923214375,0.020007831320044,0.805400018961961,0,0,0,0,0.011221017823824,-0.014195923214375,-0.020007831320044,-0.005400018961961,0,0
20,0,4,0,0,0,0.8,0,4,0,0,0.040229445938296,-0.017266131528472,-0.003775384204627,0.798596793976497,0,0,0,0,-0.040229445938296,0.017266131528472,0.003775384204627,0.001403206023503,0,0
21,0,4,0,0,0,0.8,0,4,0,0,-0.008288718214361,-0.01790087274723,0.024183981345016,0.789346392210164,0,0,0,0,0.008288718214361,0.01790087274723,-0.024183981345016,0.010653607789836,0,0
22,0,4,0,0,0,0.8,0,4,0,0,-0.009565143297451,0.013921242475108,0.010843882206742,0.793489633705583,0,0,0,0,0.009565143297451,-0.013921242475108,-0.010843882206742,0.006510366294417,0,0
23,0,4,0,0,0,0.8,0,4,0,0,-0.007620841520637,-0.022686156558115,0.008624198910911,0.843675325647748,0,0,0,0,0.007620841520637,0.022686156558115,-0.008624198910911,-0.043675325647749,0,0
24,0,4,0,0,0,0.8,0,4,0,0,0.013401250048028,-0.008466599779843,-0.007606476259242,0.837286984268011,0,0,0,0,-0.013401250048028,0.008466599779843,0.007606476259242,-0.037286984268011,0,0
25,0,4,0,0,0,0.8,0,4,0,0,-0.0179309705415,0.017940946526902,0.019033231485801,0.800263812866067,0,0,0,0,0.0179309705415,-0.017940946526902,-0.019033231485801,-0.000263812866067,0,0
26,0,4,0,0,0,0.8,0,4,0,0,0.001853253176215,-0.015917109583915,-0.010553604889135,0.785022193183056,0,0,0,0,-0.001853253176215,0.015917109583915,0.010553604889135,0.014977806816944,0,0
