Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,MA 5-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Fitted MA 7-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff,Diff in MA 7-lag Coeff
13,0,5,0,0.5,0,0,0.5,0,5,0,0,0.020431334463962,0.535915103259598,0.00756814403585,0.006125972997422,0.487949534642556,0,0,0,0,-0.020431334463962,-0.035915103259599,-0.00756814403585,-0.006125972997422,0.012050465357444,0,0
14,0,5,0,0.5,0,0,0.5,0,5,0,0,0.011749669020456,0.49062121758869,-0.011436648437719,-0.011383306133734,0.481292908953604,0,0,0,0,-0.011749669020456,0.00937878241131,0.011436648437719,0.011383306133734,0.018707091046396,0,0
15,0,5,0,0.5,0,0,0.5,0,5,0,0,0.000480493685402,0.504294240925653,-0.02700954708307,-0.001889613152781,0.470817443980044,0,0,0,0,-0.000480493685402,-0.004294240925653,0.02700954708307,0.001889613152781,0.029182556019956,0,0
16,0,5,0,0.5,0,0,0.5,0,5,0,0,0.005650961081717,0.488851329038316,-0.01156250235946,-0.028779334454174,0.50293575039676,0,0,0,0,-0.005650961081717,0.011148670961684,0.01156250235946,0.028779334454174,-0.00293575039676,0,0
17,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.025741512733631,0.465420834553356,0.002227813033894,-0.030648883204042,0.525707246850082,0,0,0,0,0.025741512733631,0.034579165446645,-0.002227813033894,0.030648883204042,-0.025707246850082,0,0
18,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.021970937345805,0.48423734579586,0.014967956636834,-0.014339641171533,0.510152976686289,0,0,0,0,0.021970937345805,0.01576265420414,-0.014967956636834,0.014339641171533,-0.010152976686289,0,0
19,0,5,0,0.5,0,0,0.5,0,5,0,0,-0.013686859337821,0.445397497386949,-0.002716374837196,-0.009284869786151,0.511509904371256,0,0,0,0,0.013686859337821,0.054602502613051,0.002716374837196,0.009284869786151,-0.011509904371256,0,0
20,0,5,0,0.5,0,0,0.5,0,5,0,0,0.018176064127309,0.447300029549486,0.052625405507714,-0.051175263789223,0.558954926504072,0,0,0,0,-0.018176064127309,0.052699970450514,-0.052625405507714,0.051175263789223,-0.058954926504072,0,0
21,0,5,0,0.5,0,0,0.5,0,5,0,0,0.003114749031457,0.454660248009134,-0.031263879174264,-0.065743777944457,0.477107078399035,0,0,0,0,-0.003114749031457,0.045339751990866,0.031263879174264,0.065743777944457,0.022892921600965,0,0
22,0,5,0,0.5,0,0,0.5,0,5,0,0,0.028667543664171,0.465283708845704,-0.00540702372334,-0.062201796513714,0.483832465060076,0,0,0,0,-0.028667543664171,0.034716291154296,0.00540702372334,0.062201796513714,0.016167534939924,0,0
