Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff
52,0,3,0,0.2,0.8,0,3,0,0,-0.020516991473364,0.210446610462458,0.808867940796421,0,0,0,0,0.020516991473364,-0.010446610462458,-0.008867940796421,0,0
53,0,3,0,0.2,0.8,0,3,0,0,-0.007443311943988,0.20902437721706,0.805050051617272,0,0,0,0,0.007443311943988,-0.00902437721706,-0.005050051617272,0,0
54,0,3,0,0.2,0.8,0,3,0,0,0.016034524073323,0.190603598712893,0.807462251215801,0,0,0,0,-0.016034524073323,0.009396401287107,-0.007462251215801,0,0
55,0,3,0,0.2,0.8,0,3,0,0,0.017579882619577,0.20247351054266,0.837040100943147,0,0,0,0,-0.017579882619577,-0.00247351054266,-0.037040100943147,0,0
56,0,3,0,0.2,0.8,0,3,0,0,0.012423999968793,0.200727050464665,0.809732866760111,0,0,0,0,-0.012423999968793,-0.000727050464665,-0.009732866760111,0,0
57,0,3,0,0.2,0.8,0,3,0,0,-0.014595092219193,0.214806651794626,0.786467254310527,0,0,0,0,0.014595092219193,-0.014806651794626,0.013532745689473,0,0
58,0,3,0,0.2,0.8,0,3,0,0,0.009492727578522,0.222031642918038,0.802251406782823,0,0,0,0,-0.009492727578522,-0.022031642918038,-0.002251406782823,0,0
59,0,3,0,0.2,0.8,0,3,0,0,0.008689068831012,0.178361048319446,0.809639875479583,0,0,0,0,-0.008689068831012,0.021638951680554,-0.009639875479583,0,0
60,0,3,0,0.2,0.8,0,3,0,0,-0.010190360476207,0.211056216715255,0.816025058813649,0,0,0,0,0.010190360476207,-0.011056216715255,-0.016025058813649,0,0
61,0,3,0,0.2,0.8,0,3,0,0,-0.011108780716024,0.198242637879795,0.789091002924411,0,0,0,0,0.011108780716024,0.001757362120205,0.010908997075589,0,0
62,0,3,0,0.2,0.8,0,3,0,0,0.000968814316895,0.230069039715949,0.787561957461469,0,0,0,0,-0.000968814316895,-0.030069039715949,0.012438042538531,0,0
63,0,3,0,0.2,0.8,0,3,0,0,0.012855942134558,0.208006085718633,0.801399966883158,0,0,0,0,-0.012855942134558,-0.008006085718633,-0.001399966883158,0,0
64,0,3,0,0.2,0.8,0,3,0,0,2.56401816091656E-05,0.203480515806336,0.814347291522196,0,0,0,0,-2.56401816091656E-05,-0.003480515806336,-0.014347291522196,0,0
65,0,3,0,0.2,0.8,0,3,0,0,-0.006695508740954,0.197782877838944,0.761883533207847,0,0,0,0,0.006695508740954,0.002217122161056,0.038116466792153,0,0
66,0,3,0,0.2,0.8,0,3,0,0,-0.017087015396137,0.221220398497064,0.805991791668931,0,0,0,0,0.017087015396137,-0.021220398497065,-0.005991791668931,0,0
67,0,3,0,0.2,0.8,0,3,0,0,-0.013420755235525,0.215751917261763,0.790714889396886,0,0,0,0,0.013420755235525,-0.015751917261764,0.009285110603114,0,0
68,0,3,0,0.2,0.8,0,3,0,0,-0.007899275839638,0.175717167556091,0.813014328280408,0,0,0,0,0.007899275839638,0.02428283244391,-0.013014328280408,0,0
69,0,3,0,0.2,0.8,0,3,0,0,-0.009755616794844,0.199295734109033,0.814216162680335,0,0,0,0,0.009755616794844,0.000704265890967,-0.014216162680335,0,0
70,0,3,0,0.2,0.8,0,3,0,0,0.014037602178861,0.191492297850461,0.807104540209088,0,0,0,0,-0.014037602178861,0.008507702149539,-0.007104540209088,0,0
71,0,3,0,0.2,0.8,0,3,0,0,0.012139605446442,0.185765053628428,0.77793085088051,0,0,0,0,-0.012139605446442,0.014234946371572,0.02206914911949,0,0
72,0,3,0,0.2,0.8,0,3,0,0,-0.012634274815609,0.217091776681186,0.781271889871839,0,0,0,0,0.012634274815609,-0.017091776681186,0.018728110128161,0,0
73,0,3,0,0.2,0.8,0,3,0,0,-0.003503536345418,0.21649534855848,0.802112215772078,0,0,0,0,0.003503536345418,-0.01649534855848,-0.002112215772078,0,0
74,0,3,0,0.2,0.8,0,3,0,0,-0.023653178954331,0.21358725315701,0.773186241325429,0,0,0,0,0.023653178954331,-0.01358725315701,0.026813758674571,0,0
75,0,3,0,0.2,0.8,0,3,0,0,-0.047695155784742,0.242078618788333,0.767946240718723,0,0,0,0,0.047695155784742,-0.042078618788333,0.032053759281278,0,0
76,0,3,0,0.2,0.8,0,3,0,0,-0.022933737807633,0.212337205784149,0.807276645279006,0,0,0,0,0.022933737807633,-0.012337205784149,-0.007276645279006,0,0
77,0,3,0,0.2,0.8,0,3,0,0,0.004156994680648,0.192962695676912,0.804955046243958,0,0,0,0,-0.004156994680648,0.007037304323088,-0.004955046243958,0,0
