Run #,AR Order,MA Order,MA 1-lag Coeff,MA 2-lag Coeff,MA 3-lag Coeff,MA 4-lag Coeff,MA 5-lag Coeff,MA 6-lag Coeff,BIC AR Order,BIC MA Order,Fitted AR 1-lag Coeff,Fitted AR 2-lag Coeff,Fitted MA 1-lag Coeff,Fitted MA 2-lag Coeff,Fitted MA 3-lag Coeff,Fitted MA 4-lag Coeff,Fitted MA 5-lag Coeff,Fitted MA 6-lag Coeff,Fitted MA 7-lag Coeff,Fitted MA 8-lag Coeff,Diff in AR 1-lag Coeff,Diff in AR 2-lag Coeff,Diff in MA 1-lag Coeff,Diff in MA 2-lag Coeff,Diff in MA 3-lag Coeff,Diff in MA 4-lag Coeff,Diff in MA 5-lag Coeff,Diff in MA 6-lag Coeff,Diff in MA 7-lag Coeff,Diff in MA 8-lag Coeff
303,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.055845101349668747,-0.0565644188175744,0.40739262777763435,-0.017068766251157698,0.2678053430082257,0.3278650054564341,0,0,0,0,0.055845101349668747,-0.0565644188175744,0.8073926277776344,-0.017068766251157698,0.5678053430082257,0.6278650054564341,0,0
304,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.06594319869364067,0.01283516003266607,0.4006144248290232,-0.002277505260464362,0.29897214722321847,0.3150607859717905,0,0,0,0,-0.06594319869364067,0.01283516003266607,0.8006144248290232,-0.002277505260464362,0.5989721472232185,0.6150607859717905,0,0
305,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.009297074700432076,-0.021940607337465792,0.4515000359954263,0.04006469265031471,0.2722526463120978,0.3428251692926003,0,0,0,0,0.009297074700432076,-0.021940607337465792,0.8515000359954263,0.04006469265031471,0.5722526463120978,0.6428251692926004,0,0
306,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.008493477905714933,-0.0047897206449541395,0.3798673350221079,0.014331207757580485,0.3160459256981178,0.27080663166699637,0,0,0,0,0.008493477905714933,-0.0047897206449541395,0.7798673350221079,0.014331207757580485,0.6160459256981178,0.5708066316669964,0,0
307,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.009949995365724162,0.018041726954700132,0.3711810139025838,0.006970980171509478,0.2813929662953741,0.300343854051843,0,0,0,0,0.009949995365724162,0.018041726954700132,0.7711810139025839,0.006970980171509478,0.5813929662953741,0.600343854051843,0,0
308,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.016289516279477625,0.017083388095559912,0.4223417219081118,-0.03007446091143534,0.31482177417824575,0.2757481553309108,0,0,0,0,-0.016289516279477625,0.017083388095559912,0.8223417219081118,-0.03007446091143534,0.6148217741782458,0.5757481553309107,0,0
309,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.08758320596460833,-0.05203609286447811,0.4309644839885495,0.06490419891433787,0.197819518790076,0.3583763533075453,0,0,0,0,0.08758320596460833,-0.05203609286447811,0.8309644839885495,0.06490419891433787,0.497819518790076,0.6583763533075453,0,0
310,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.010828595865400165,-0.02200313915955422,0.42146806003532045,0.003961247106351415,0.2793700514275038,0.316311067231689,0,0,0,0,0.010828595865400165,-0.02200313915955422,0.8214680600353205,0.003961247106351415,0.5793700514275038,0.6163110672316889,0,0
311,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,-0.03149501869795268,-0.028572376496468026,0.4179464922112441,0.03980123046916588,0.29100230291948254,0.264176663188026,0,0,0,0,-0.03149501869795268,-0.028572376496468026,0.817946492211244,0.03980123046916588,0.5910023029194825,0.5641766631880261,0,0
312,0,6,0,0,0.4,0,0.3,0.3,0,6,0,0,0.05444440813084762,-0.025043092531342456,0.3730284144552946,-0.03982063639353055,0.28568594141342135,0.3338483499231209,0,0,0,0,0.05444440813084762,-0.025043092531342456,0.7730284144552946,-0.03982063639353055,0.5856859414134213,0.6338483499231209,0,0
